Source Name	Characteristics[Organism]	Term Source REF	Term Source Accession	Characteristics[Cell Line]	Term Source REF	Term Source Accession	Characteristics [Replicate Group]	Protocol REF	Protocol REF	Assay Name	Factor Value[Targeted Protein]	Comment[Gene Identifier]	Comment[Gene Symbol]	Comment[Gene Symbol Synonyms]	Factor Value [Antibody]	Channels	Dataset Name	Comment [Image File Type]	Comment[Image File Comment]	Image File Path	Image Name	Protocol REF	Processed Data File
Nup107-aa33-51_antibody_1	Homo sapiens	NCBITaxon	NCBITaxon_9606	U2OS	EFO	EFO_0002869	Nup107-aa33-51_antibody_1	growth protocol	image aquistion and feature extraction protocol	Nup107-aa33-51_antibody_1	Nup107	ENSG00000111581	NUP107	NUP84	Nup107-aa33-51 antibody	greyscale	Nup107-aa33-51_antibody_1	raw		/Nup107/Nup107-aa33-51_antibody/130424_Nup107_1/Nup107_9/	nup107_low600_corr2_9.tif	data analysis protocol	idr0023-experimentA-processed.txt
Nup107-aa33-51_antibody_2	Homo sapiens	NCBITaxon	NCBITaxon_9606	U2OS	EFO	EFO_0002869	Nup107-aa33-51_antibody_2	growth protocol	image aquistion and feature extraction protocol	Nup107-aa33-51_antibody_2	Nup107	ENSG00000111581	NUP107	NUP84	Nup107-aa33-51 antibody	greyscale	Nup107-aa33-51_antibody_2	derived		/Nup107/Nup107-aa33-51_antibody/130424_Nup107_2/AllParticles/	all_particles.tif	data analysis protocol	idr0023-experimentA-processed.txt
Nup107-aa33-51_antibody_2	Homo sapiens	NCBITaxon	NCBITaxon_9606	U2OS	EFO	EFO_0002869	Nup107-aa33-51_antibody_2	growth protocol	image aquistion and feature extraction protocol	Nup107-aa33-51_antibody_2	Nup107	ENSG00000111581	NUP107	NUP84	Nup107-aa33-51 antibody	greyscale	Nup107-aa33-51_antibody_2	derived		/Nup107/Nup107-aa33-51_antibody/130424_Nup107_2/AllParticles/	SUM_trans_norm.tif	data analysis protocol	idr0023-experimentA-processed.txt
Nup107-aa33-51_antibody_2	Homo sapiens	NCBITaxon	NCBITaxon_9606	U2OS	EFO	EFO_0002869	Nup107-aa33-51_antibody_2	growth protocol	image aquistion and feature extraction protocol	Nup107-aa33-51_antibody_2	Nup107	ENSG00000111581	NUP107	NUP84	Nup107-aa33-51 antibody	greyscale	Nup107-aa33-51_antibody_2	derived		/Nup107/Nup107-aa33-51_antibody/130424_Nup107_2/AllParticles/	trans_norm.tif	data analysis protocol	idr0023-experimentA-processed.txt
Nup107-aa33-51_antibody_2	Homo sapiens	NCBITaxon	NCBITaxon_9606	U2OS	EFO	EFO_0002869	Nup107-aa33-51_antibody_2	growth protocol	image aquistion and feature extraction protocol	Nup107-aa33-51_antibody_2	Nup107	ENSG00000111581	NUP107	NUP84	Nup107-aa33-51 antibody	greyscale	Nup107-aa33-51_antibody_2	raw		/Nup107/Nup107-aa33-51_antibody/130424_Nup107_2/Nup107_10/	nup107_low600_corr1_10.tif	data analysis protocol	idr0023-experimentA-processed.txt
Nup107-aa33-51_antibody_2	Homo sapiens	NCBITaxon	NCBITaxon_9606	U2OS	EFO	EFO_0002869	Nup107-aa33-51_antibody_2	growth protocol	image aquistion and feature extraction protocol	Nup107-aa33-51_antibody_2	Nup107	ENSG00000111581	NUP107	NUP84	Nup107-aa33-51 antibody	greyscale	Nup107-aa33-51_antibody_2	raw		/Nup107/Nup107-aa33-51_antibody/130424_Nup107_2/Nup107_2/	nup107_low600_corr1_2.tif	data analysis protocol	idr0023-experimentA-processed.txt
Nup107-aa33-51_antibody_2	Homo sapiens	NCBITaxon	NCBITaxon_9606	U2OS	EFO	EFO_0002869	Nup107-aa33-51_antibody_2	growth protocol	image aquistion and feature extraction protocol	Nup107-aa33-51_antibody_2	Nup107	ENSG00000111581	NUP107	NUP84	Nup107-aa33-51 antibody	greyscale	Nup107-aa33-51_antibody_2	raw		/Nup107/Nup107-aa33-51_antibody/130424_Nup107_2/Nup107_4/	nup107_low600_corr1_4.tif	data analysis protocol	idr0023-experimentA-processed.txt
Nup107-aa33-51_antibody_2	Homo sapiens	NCBITaxon	NCBITaxon_9606	U2OS	EFO	EFO_0002869	Nup107-aa33-51_antibody_2	growth protocol	image aquistion and feature extraction protocol	Nup107-aa33-51_antibody_2	Nup107	ENSG00000111581	NUP107	NUP84	Nup107-aa33-51 antibody	greyscale	Nup107-aa33-51_antibody_2	raw		/Nup107/Nup107-aa33-51_antibody/130424_Nup107_2/Nup107_7/	nup107_low600_corr1_7.tif	data analysis protocol	idr0023-experimentA-processed.txt
Nup107-aa33-51_antibody_2	Homo sapiens	NCBITaxon	NCBITaxon_9606	U2OS	EFO	EFO_0002869	Nup107-aa33-51_antibody_2	growth protocol	image aquistion and feature extraction protocol	Nup107-aa33-51_antibody_2	Nup107	ENSG00000111581	NUP107	NUP84	Nup107-aa33-51 antibody	greyscale	Nup107-aa33-51_antibody_2	raw		/Nup107/Nup107-aa33-51_antibody/130424_Nup107_2/Nup107_8/	nup107_low600_corr1_8.tif	data analysis protocol	idr0023-experimentA-processed.txt
Nup107-aa33-51_antibody_2	Homo sapiens	NCBITaxon	NCBITaxon_9606	U2OS	EFO	EFO_0002869	Nup107-aa33-51_antibody_2	growth protocol	image aquistion and feature extraction protocol	Nup107-aa33-51_antibody_2	Nup107	ENSG00000111581	NUP107	NUP84	Nup107-aa33-51 antibody	greyscale	Nup107-aa33-51_antibody_2	raw		/Nup107/Nup107-aa33-51_antibody/130424_Nup107_2/Nup107_9/	nup107_low600_corr1_9.tif	data analysis protocol	idr0023-experimentA-processed.txt
Nup107-aa33-51_antibody_2	Homo sapiens	NCBITaxon	NCBITaxon_9606	U2OS	EFO	EFO_0002869	Nup107-aa33-51_antibody_2	growth protocol	image aquistion and feature extraction protocol	Nup107-aa33-51_antibody_2	Nup107	ENSG00000111581	NUP107	NUP84	Nup107-aa33-51 antibody	greyscale	Nup107-aa33-51_antibody_2	raw		/Nup107/Nup107-aa33-51_antibody/130424_Nup107_2/Nup107_1/	nup107_low600_corr2_1.tif	data analysis protocol	idr0023-experimentA-processed.txt
Nup107-aa33-51_antibody_2	Homo sapiens	NCBITaxon	NCBITaxon_9606	U2OS	EFO	EFO_0002869	Nup107-aa33-51_antibody_2	growth protocol	image aquistion and feature extraction protocol	Nup107-aa33-51_antibody_2	Nup107	ENSG00000111581	NUP107	NUP84	Nup107-aa33-51 antibody	greyscale	Nup107-aa33-51_antibody_2	raw		/Nup107/Nup107-aa33-51_antibody/130424_Nup107_2/Nup107_3/	nup107_low600_corr2_3.tif	data analysis protocol	idr0023-experimentA-processed.txt
Nup107-aa33-51_antibody_2	Homo sapiens	NCBITaxon	NCBITaxon_9606	U2OS	EFO	EFO_0002869	Nup107-aa33-51_antibody_2	growth protocol	image aquistion and feature extraction protocol	Nup107-aa33-51_antibody_2	Nup107	ENSG00000111581	NUP107	NUP84	Nup107-aa33-51 antibody	greyscale	Nup107-aa33-51_antibody_2	raw		/Nup107/Nup107-aa33-51_antibody/130424_Nup107_2/Nup107_5/	nup107_low600_corr2_5.tif	data analysis protocol	idr0023-experimentA-processed.txt
Nup107-aa33-51_antibody_2	Homo sapiens	NCBITaxon	NCBITaxon_9606	U2OS	EFO	EFO_0002869	Nup107-aa33-51_antibody_2	growth protocol	image aquistion and feature extraction protocol	Nup107-aa33-51_antibody_2	Nup107	ENSG00000111581	NUP107	NUP84	Nup107-aa33-51 antibody	greyscale	Nup107-aa33-51_antibody_2	raw		/Nup107/Nup107-aa33-51_antibody/130424_Nup107_2/Nup107_6/	nup107_low600_corr2_6.tif	data analysis protocol	idr0023-experimentA-processed.txt
Nup107-aa33-51_antibody_3	Homo sapiens	NCBITaxon	NCBITaxon_9606	U2OS	EFO	EFO_0002869	Nup107-aa33-51_antibody_3	growth protocol	image aquistion and feature extraction protocol	Nup107-aa33-51_antibody_3	Nup107	ENSG00000111581	NUP107	NUP84	Nup107-aa33-51 antibody	greyscale	Nup107-aa33-51_antibody_3	derived		/Nup107/Nup107-aa33-51_antibody/130430_Nup107_3/AllParticles/	all_particles.tif	data analysis protocol	idr0023-experimentA-processed.txt
Nup107-aa33-51_antibody_3	Homo sapiens	NCBITaxon	NCBITaxon_9606	U2OS	EFO	EFO_0002869	Nup107-aa33-51_antibody_3	growth protocol	image aquistion and feature extraction protocol	Nup107-aa33-51_antibody_3	Nup107	ENSG00000111581	NUP107	NUP84	Nup107-aa33-51 antibody	greyscale	Nup107-aa33-51_antibody_3	derived		/Nup107/Nup107-aa33-51_antibody/130430_Nup107_3/AllParticles/	SUM_trans_norm.tif	data analysis protocol	idr0023-experimentA-processed.txt
Nup107-aa33-51_antibody_3	Homo sapiens	NCBITaxon	NCBITaxon_9606	U2OS	EFO	EFO_0002869	Nup107-aa33-51_antibody_3	growth protocol	image aquistion and feature extraction protocol	Nup107-aa33-51_antibody_3	Nup107	ENSG00000111581	NUP107	NUP84	Nup107-aa33-51 antibody	greyscale	Nup107-aa33-51_antibody_3	derived		/Nup107/Nup107-aa33-51_antibody/130430_Nup107_3/AllParticles/	trans_norm.tif	data analysis protocol	idr0023-experimentA-processed.txt
Nup107-aa33-51_antibody_3	Homo sapiens	NCBITaxon	NCBITaxon_9606	U2OS	EFO	EFO_0002869	Nup107-aa33-51_antibody_3	growth protocol	image aquistion and feature extraction protocol	Nup107-aa33-51_antibody_3	Nup107	ENSG00000111581	NUP107	NUP84	Nup107-aa33-51 antibody	greyscale	Nup107-aa33-51_antibody_3	raw		/Nup107/Nup107-aa33-51_antibody/130430_Nup107_3/Nup107_3/	nup107_low600_corr1_3.tif	data analysis protocol	idr0023-experimentA-processed.txt
Nup107-aa33-51_antibody_3	Homo sapiens	NCBITaxon	NCBITaxon_9606	U2OS	EFO	EFO_0002869	Nup107-aa33-51_antibody_3	growth protocol	image aquistion and feature extraction protocol	Nup107-aa33-51_antibody_3	Nup107	ENSG00000111581	NUP107	NUP84	Nup107-aa33-51 antibody	greyscale	Nup107-aa33-51_antibody_3	raw		/Nup107/Nup107-aa33-51_antibody/130430_Nup107_3/Nup107_1/	nup107_low600_corr2_1.tif	data analysis protocol	idr0023-experimentA-processed.txt
Nup107-aa33-51_antibody_3	Homo sapiens	NCBITaxon	NCBITaxon_9606	U2OS	EFO	EFO_0002869	Nup107-aa33-51_antibody_3	growth protocol	image aquistion and feature extraction protocol	Nup107-aa33-51_antibody_3	Nup107	ENSG00000111581	NUP107	NUP84	Nup107-aa33-51 antibody	greyscale	Nup107-aa33-51_antibody_3	raw		/Nup107/Nup107-aa33-51_antibody/130430_Nup107_3/Nup107_2/	nup107_low600_corr2_2.tif	data analysis protocol	idr0023-experimentA-processed.txt
